DateTime,UTC,Open,High,Low,Close,Ticks(from bar),Volume(from bar),EMA (50: Close)_EMA,EMA Cloud_MA1,EMA Cloud_MA2,EMA (100: Close)_EMA,EMA (150: Close)_EMA,EMA Cloud_MA1,EMA Cloud_MA2,EMA (12: Close)_EMA,Fractals_HighLine,Fractals_LowLine,EMA (64: Close)_EMA,BB (20:2)_Upper Band,BB (20:2)_Middle Band,BB (20:2)_Lower Band,EMA (9: Close)_EMA,EMA Cloud_MA1,EMA Cloud_MA2,
11/2/2025 3:00:00 PM,-08:00,26028,26123,26012.5,26120,50000,56217,,,,,,,,,,,,,,,,,,
11/2/2025 3:22:21 PM,-08:00,26066.5,26123,26049.25,26093,50000,55645,,,,,,,,,,,,,,,,,,
11/2/2025 5:17:44 PM,-08:00,26119.5,26123,26049.75,26080.25,50000,56174,,,,,,,,,,,,,,,,,,
11/2/2025 6:05:00 PM,-08:00,26093,26114.5,26049.75,26074.75,50000,56170,,,,,,,,,,,,,,,,,,
11/2/2025 8:25:00 PM,-08:00,26080.25,26088,26018.25,26022.25,50000,57804,,,,,,,,,,,,,,,,,,
11/2/2025 9:31:57 PM,-08:00,26074.75,26088,26016.75,26056.5,50000,58089,,,,,,,,,,,,,,,,,,
11/2/2025 11:46:47 PM,-08:00,26022.25,26155.75,26016.75,26126.25,50000,58085,,,,,,,,,26155.75,26016.75,,,,,,,,
11/3/2025 12:18:13 AM,-08:00,26056.25,26155.75,26041,26152.75,50000,58032,,,,,,,,,26155.75,26041,,,,,,,,
11/3/2025 1:57:48 AM,-08:00,26126.25,26182,26123.75,26158.25,50000,58061,,,,,,,,,26182,26123.75,,,,,,,,
11/3/2025 2:45:51 AM,-08:00,26152.75,26182,26132.25,26153.75,50000,58257,,,,,,,,,26182,26132.25,,,,,26157.35,,,
11/3/2025 4:33:22 AM,-08:00,26158.75,26214.25,26133.5,26213.75,50000,58252,,,,,,,,,26214.25,26133.5,,,,,26168.63,,,
11/3/2025 5:01:36 AM,-08:00,26153.75,26252.75,26133.5,26219,50000,58069,,,,,,,,,26252.75,26133.5,,,,,26178.704,,,
11/3/2025 6:00:04 AM,-08:00,26214,26255.25,26202,26242.75,50000,56839,,,,,,,,26222.6538461538,26255.25,26202,,,,,26191.5132,,,
