DatePST,TimePST,EvaluationCount,Price,EMA7,DeviationPct,Bias,Reason
2026-03-30,16:24:56,1,23057.25,23057.89,0.003,Sell,Order placed
2026-03-30,16:24:56,2,23057.00,23057.67,0.003,None,Debounce active
2026-03-30,16:24:56,3,23057.00,23057.50,0.002,None,Debounce active
2026-03-30,16:24:56,4,23057.00,23057.38,0.002,None,Debounce active
2026-03-30,16:24:56,5,23057.00,23057.28,0.001,None,Debounce active
2026-03-30,16:24:56,6,23057.25,23057.27,0.000,None,Debounce active
2026-03-30,16:24:57,7,23057.25,23057.27,0.000,None,Debounce active
2026-03-30,16:24:57,8,23057.25,23057.26,0.000,None,Debounce active
2026-03-30,16:24:57,9,23057.75,23057.39,0.002,None,Debounce active
2026-03-30,16:24:57,10,23058.00,23057.54,0.002,None,Debounce active
2026-03-30,16:24:58,11,23058.25,23057.72,0.002,None,Debounce active
2026-03-30,16:24:58,12,23058.75,23057.98,0.003,None,Debounce active
2026-03-30,16:25:01,13,23058.75,23058.17,0.003,None,Debounce active
2026-03-30,16:25:01,14,23058.50,23058.25,0.001,None,Debounce active
2026-03-30,16:25:01,15,23058.50,23058.31,0.001,None,Debounce active
2026-03-30,16:25:02,16,23059.00,23058.49,0.002,None,Debounce active
2026-03-30,16:25:02,17,23058.50,23058.49,0.000,None,Debounce active
2026-03-30,16:25:02,18,23058.50,23058.49,0.000,None,Debounce active
2026-03-30,16:25:02,19,23058.50,23058.49,0.000,None,Debounce active
2026-03-30,16:25:02,20,23058.50,23058.50,0.000,None,Debounce active
2026-03-30,16:25:03,21,23058.50,23058.50,0.000,None,Debounce active
2026-03-30,16:25:05,22,23058.00,23058.37,0.002,None,Debounce active
2026-03-30,16:25:05,23,23058.50,23058.40,0.000,None,Debounce active
2026-03-30,16:25:05,24,23058.75,23058.49,0.001,None,Debounce active
2026-03-30,16:25:05,25,23058.75,23058.56,0.001,None,Debounce active
2026-03-30,16:25:05,26,23058.75,23058.60,0.001,None,Debounce active
2026-03-30,16:25:05,27,23059.75,23058.89,0.004,None,Debounce active
2026-03-30,16:25:08,28,23059.25,23058.98,0.001,None,Debounce active
2026-03-30,16:25:08,29,23060.50,23059.36,0.005,None,Debounce active
2026-03-30,16:25:08,30,23059.75,23059.46,0.001,None,Debounce active
2026-03-30,16:25:08,31,23060.50,23059.72,0.003,None,Debounce active
2026-03-30,16:25:08,32,23060.50,23059.91,0.003,None,Debounce active
2026-03-30,16:25:08,33,23060.50,23060.06,0.002,None,Debounce active
2026-03-30,16:25:08,34,23060.75,23060.23,0.002,None,Debounce active
2026-03-30,16:25:08,35,23060.75,23060.36,0.002,None,Debounce active
2026-03-30,16:25:08,36,23060.75,23060.46,0.001,None,Debounce active
2026-03-30,16:25:09,37,23060.75,23060.53,0.001,None,Debounce active
2026-03-30,16:25:10,38,23060.00,23060.40,0.002,None,Debounce active
2026-03-30,16:25:10,39,23060.50,23060.42,0.000,None,Debounce active
2026-03-30,16:25:10,40,23060.50,23060.44,0.000,None,Debounce active
2026-03-30,16:25:10,41,23060.50,23060.46,0.000,None,Debounce active
2026-03-30,16:25:11,42,23060.50,23060.47,0.000,Buy,Order placed
2026-03-30,16:25:11,43,23060.50,23060.48,0.000,None,Debounce active
2026-03-30,16:25:11,44,23060.50,23060.48,0.000,None,Debounce active
2026-03-30,16:25:11,45,23060.50,23060.49,0.000,None,Debounce active
2026-03-30,16:25:13,46,23060.50,23060.49,0.000,None,Debounce active
2026-03-30,16:25:13,47,23060.00,23060.37,0.002,None,Debounce active
2026-03-30,16:25:13,48,23060.00,23060.28,0.001,None,Debounce active
2026-03-30,16:25:13,49,23060.00,23060.21,0.001,None,Debounce active
2026-03-30,16:25:13,50,23060.00,23060.15,0.001,None,Debounce active
2026-03-30,16:25:13,51,23060.25,23060.18,0.000,None,Debounce active
2026-03-30,16:25:13,52,23060.50,23060.26,0.001,None,Debounce active
2026-03-30,16:25:13,53,23060.00,23060.19,0.001,None,Debounce active
2026-03-30,16:25:15,54,23060.00,23060.15,0.001,None,Debounce active
2026-03-30,16:25:15,55,23060.50,23060.23,0.001,None,Debounce active
2026-03-30,16:25:16,56,23060.00,23060.18,0.001,None,Debounce active
2026-03-30,16:25:16,57,23060.25,23060.19,0.000,None,Debounce active
2026-03-30,16:25:17,58,23060.25,23060.21,0.000,None,Debounce active
2026-03-30,16:25:17,59,23059.50,23060.03,0.002,None,Debounce active
2026-03-30,16:25:17,60,23059.50,23059.90,0.002,None,Debounce active
2026-03-30,16:25:17,61,23059.00,23059.67,0.003,None,Debounce active
2026-03-30,16:25:18,62,23058.75,23059.44,0.003,None,Debounce active
2026-03-30,16:25:18,63,23058.50,23059.21,0.003,None,Debounce active
2026-03-30,16:25:18,64,23059.25,23059.22,0.000,None,Debounce active
2026-03-30,16:25:18,65,23059.25,23059.23,0.000,None,Debounce active
2026-03-30,16:25:18,66,23059.25,23059.23,0.000,None,Debounce active
2026-03-30,16:25:19,67,23059.25,23059.24,0.000,None,Debounce active
2026-03-30,16:25:19,68,23059.50,23059.30,0.001,None,Debounce active
2026-03-30,16:25:19,69,23059.50,23059.35,0.001,None,Debounce active
